timestamp_sec,url,cpu_percent,load_avg_1m,valkey_rtt_ms,active_ws_connections
1789022706,https://10.1.75.51:5271/health,9.20,6.25,1.25,0
1789022706,https://10.1.75.51:5272/health,9.00,6.25,22.02,0
1789022708,https://10.1.75.51:5270/health,4.20,5.91,0.85,0
1789022708,https://10.1.75.51:5271/health,4.40,5.91,32.19,0
1789022708,https://10.1.75.51:5272/health,1.60,5.91,17.12,0
1789022711,https://10.1.75.51:5270/health,2.80,5.91,9.75,0
1789022711,https://10.1.75.51:5271/health,3.20,5.91,44.76,0
1789022711,https://10.1.75.51:5272/health,4.60,5.91,80.08,0
1789022712,https://10.1.75.51:5270/health,11.80,5.91,43.50,0
1789022712,https://10.1.75.51:5271/health,10.70,5.91,66.39,0
1789022712,https://10.1.75.51:5272/health,11.00,5.91,60.34,0
1789022714,https://10.1.75.51:5270/health,12.20,6.31,69.14,0
1789022714,https://10.1.75.51:5271/health,12.40,6.31,65.61,0
1789022714,https://10.1.75.51:5272/health,12.50,6.31,50.36,0
1789022716,https://10.1.75.51:5270/health,12.80,6.31,116.86,0
1789022716,https://10.1.75.51:5271/health,12.80,6.31,14.57,0
1789022716,https://10.1.75.51:5272/health,13.10,6.31,24.49,0
1789022718,https://10.1.75.51:5270/health,10.60,6.13,8.74,0
1789022718,https://10.1.75.51:5271/health,11.40,6.13,174.34,0
1789022718,https://10.1.75.51:5272/health,10.80,6.13,9.91,0
1789022766,https://10.1.75.51:5270/health,5.10,3.00,1.05,0
1789022766,https://10.1.75.51:5271/health,5.70,3.00,1.29,0
1789022766,https://10.1.75.51:5272/health,6.20,3.00,1.10,0
1789022768,https://10.1.75.51:5270/health,12.90,3.16,1.36,0
1789022768,https://10.1.75.51:5271/health,13.60,3.16,1.25,0
1789022768,https://10.1.75.51:5272/health,13.30,3.16,0.98,0
1789022770,https://10.1.75.51:5270/health,12.40,3.16,3.75,0
1789022770,https://10.1.75.51:5271/health,12.40,3.16,2.14,0
1789022770,https://10.1.75.51:5272/health,10.50,3.16,0.79,0
1789022772,https://10.1.75.51:5270/health,11.70,3.16,2.63,0
1789022772,https://10.1.75.51:5271/health,11.60,3.16,0.98,0
1789022772,https://10.1.75.51:5272/health,11.60,3.16,0.90,0
1789022774,https://10.1.75.51:5270/health,11.80,3.07,26.82,0
1789022774,https://10.1.75.51:5271/health,12.00,3.07,66.15,0
1789022774,https://10.1.75.51:5272/health,12.40,3.07,24.92,0
1789022776,https://10.1.75.51:5270/health,12.80,3.07,16.42,0
1789022776,https://10.1.75.51:5271/health,13.20,3.07,14.63,0
1789022776,https://10.1.75.51:5272/health,13.10,3.07,4.32,0
1789022778,https://10.1.75.51:5270/health,11.20,3.63,85.29,0
1789022778,https://10.1.75.51:5271/health,11.20,3.63,186.11,0
1789022778,https://10.1.75.51:5272/health,11.00,3.63,91.87,0
1789022780,https://10.1.75.51:5270/health,13.30,3.63,0.84,0
1789022780,https://10.1.75.51:5271/health,13.20,3.63,0.87,0
1789022780,https://10.1.75.51:5272/health,12.10,3.63,5.74,0
1789022782,https://10.1.75.51:5270/health,12.20,3.63,21.28,0
1789022782,https://10.1.75.51:5271/health,11.20,3.63,7.59,0
1789022782,https://10.1.75.51:5272/health,10.40,3.63,27.07,0
1789022784,https://10.1.75.51:5270/health,11.90,3.42,70.06,0
1789022784,https://10.1.75.51:5271/health,12.20,3.42,33.52,0
1789022784,https://10.1.75.51:5272/health,12.40,3.42,61.07,0
1789022786,https://10.1.75.51:5270/health,14.00,3.42,12.33,0
1789022786,https://10.1.75.51:5271/health,14.10,3.42,77.14,0
1789022786,https://10.1.75.51:5272/health,14.80,3.42,33.81,0
1789022788,https://10.1.75.51:5270/health,15.70,3.70,9.25,0
1789022788,https://10.1.75.51:5271/health,15.30,3.70,6.19,0
1789022788,https://10.1.75.51:5272/health,15.90,3.70,6.35,0
1789022790,https://10.1.75.51:5270/health,15.20,3.70,11.28,0
1789022790,https://10.1.75.51:5271/health,12.40,3.70,1.04,0
1789022790,https://10.1.75.51:5272/health,9.70,3.70,6.21,0
1789022792,https://10.1.75.51:5270/health,12.20,3.70,9.94,0
1789022792,https://10.1.75.51:5271/health,12.30,3.70,20.68,0
1789022792,https://10.1.75.51:5272/health,12.30,3.70,7.94,0
1789022794,https://10.1.75.51:5270/health,12.90,3.81,22.68,0
1789022794,https://10.1.75.51:5271/health,13.20,3.81,9.62,0
1789022794,https://10.1.75.51:5272/health,13.40,3.81,20.18,0
1789022796,https://10.1.75.51:5270/health,10.20,3.81,94.39,0
1789022796,https://10.1.75.51:5271/health,11.10,3.81,46.53,0
1789022796,https://10.1.75.51:5272/health,11.70,3.81,27.39,0
1789022798,https://10.1.75.51:5270/health,9.20,3.50,1.00,0
1789022798,https://10.1.75.51:5271/health,8.20,3.50,55.74,0
1789022798,https://10.1.75.51:5272/health,8.70,3.50,17.61,0
1789022800,https://10.1.75.51:5270/health,14.50,3.50,31.39,0
1789022800,https://10.1.75.51:5271/health,14.00,3.50,6.86,0
1789022800,https://10.1.75.51:5272/health,13.50,3.50,0.91,0
1789022802,https://10.1.75.51:5270/health,13.30,3.50,55.58,0
1789022802,https://10.1.75.51:5271/health,13.80,3.50,1.74,0
1789022802,https://10.1.75.51:5272/health,14.30,3.50,8.54,0
1789022804,https://10.1.75.51:5270/health,12.70,3.54,30.48,0
1789022804,https://10.1.75.51:5271/health,13.10,3.54,74.56,0
1789022804,https://10.1.75.51:5272/health,13.40,3.54,44.50,0
